ID,Description,LinkId
2,Lorne Westbound on Great Ocean Road,900000041
4,Deans Marsh Southbound on Deans Marsh - Lorne Road,6130-6132-6134-6136-6138-6140-6142-6144
8,Bellbrae Southbound on Great Ocean Road,12139-12141-12143-12145-12147-12149-12151-12153-12155-12157-12159-12161-12163-12165-12167-12169-12171-12173
9,Moriac Southbound on Hendy Main Road,4225
13,Anglesea Southbound on Great Ocean Road at Forest Road Intersection,26143-26145-26147-26149-26151-26153-26155-26157-26159-26161-26163-26165-26167-26169-26171-26173-26175-26177-26179-26181-26183-26185-26187
14,Torquay Westbound on Great Ocean Road (Geelong Road),25169-25170-25171-25172-25173-25174
15,Torquay Westbound on Bells Beach Road,22651-22653
