ID,Description,LinkId
1,Lorne Northbound on Deans Marsh - Lorne Road,41397-41395-41393-41391-41389-41387
2,Lorne Westbound on Great Ocean Road,900000041
3,Moggs Creek Westbound on Great Ocean Road,50174-50176-42678-41486-41488-41490
4,Deans Marsh Southbound on Deans Marsh - Lorne Road,6130-6132-6134-6136-6138-6140-6142-6144
5,Birregurra Southbound on Birregurra - Deans Marsh Road,59177-59175-59173-59171-59169-59167-59165
6,Winchelsea - Deans Marsh Road Southbound at Cape Otway Rd Intersection,31956
7,Anglesea Westbound on Great Ocean Road,26382-26384-26386-26388-26390-26392-26394-26396-26398-26400-26402
8,Bellbrae Southbound on Great Ocean Road,12139-12141-12143-12145-12147-12149-12151-12153-12155-12157-12159-12161-12163-12165-12167-12169-12171-12173
9,Moriac Southbound on Hendy Main Road,4225
10,Anglesea Road Southbound at Mount Duneed Road Intersection,40065
11,Skenes Creek Eastbound on Great Ocean Road,44659-44657-44655-44653-44651-44649-44647
12,Lorne Eastbound on Great Ocean Road (when too late to leave scenario S6),42241-42239-42237-42235-42233-42231-42229-42227-42225-42223
